ds,y,orders,items
2010-06-21,20961.74,44,12059
2010-06-22,14353.85,42,6968
2010-06-23,27629.37,68,16223
2010-06-24,23813.0,72,11271
2010-06-25,17713.37,45,7997
2010-06-27,18706.92,55,10851
2010-06-28,53307.12,69,34521
2010-06-29,34088.84,70,20885
2010-06-30,34138.5,78,21028
2010-07-01,29767.75,84,16470
2010-07-02,16556.57,44,8687
2010-07-04,10376.29,21,5302
2010-07-05,32528.98,85,16621
2010-07-06,23128.27,58,11949
2010-07-07,30973.92,77,14669
2010-07-08,19324.37,69,11744
2010-07-09,36925.06,30,14068
2010-07-11,7784.95,28,5806
2010-07-12,19394.98,49,9715
2010-07-13,20563.35,55,10041
2010-07-14,23336.03,61,13380
2010-07-15,56255.2,78,27808
2010-07-16,22451.3,67,14309
2010-07-18,14993.89,40,9630
2010-07-19,30179.36,58,18526
2010-07-20,24560.45,57,12082
2010-07-21,21774.39,54,13164
2010-07-22,25735.98,78,13920
2010-07-23,25333.05,47,13311
2010-07-25,16990.21,53,11520
2010-07-26,23710.82,61,14992
2010-07-27,28234.87,70,14309
2010-07-28,23234.12,64,13361
2010-07-29,33921.95,71,13755
2010-07-30,15803.31,50,8434
2010-08-01,30432.7,30,9674
2010-08-02,26839.9,62,11860
2010-08-03,25172.09,56,16312
2010-08-04,20321.57,52,11728
2010-08-05,24299.43,54,16824
2010-08-06,15091.31,45,9918
2010-08-08,13962.51,44,8120
2010-08-09,31513.27,51,100215
2010-08-10,34722.61,44,20046
2010-08-11,20382.05,44,8188
2010-08-12,28438.45,80,18209
2010-08-13,36763.13,54,18151
2010-08-15,21863.18,57,17325
2010-08-16,20206.46,38,11075
2010-08-17,30166.36,45,18397
2010-08-18,36850.16,57,22845
2010-08-19,32390.94,77,22504
2010-08-20,24967.59,58,18971
2010-08-22,22596.01,60,13879
2010-08-23,21744.58,45,13250
2010-08-24,27310.22,61,19076
2010-08-25,31307.73,76,17561
2010-08-26,34655.32,78,17592
2010-08-27,15045.99,34,7312
2010-08-29,14426.95,39,8762
2010-08-31,33372.38,61,14158
2010-09-01,22842.12,42,12898
2010-09-02,34546.52,86,21940
2010-09-03,36925.07,60,31213
2010-09-05,12180.81,35,7215
2010-09-06,28088.38,53,16195
2010-09-07,27176.0,51,15738
2010-09-08,17266.53,46,10198
2010-09-09,24423.02,65,13171
2010-09-10,17348.04,45,10403
2010-09-12,15520.5,48,9273
2010-09-13,37350.52,86,28384
2010-09-14,20677.19,61,11364
2010-09-15,34375.67,66,21456
2010-09-16,26799.32,66,14400
2010-09-17,20692.37,51,11812
2010-09-19,22880.33,59,13696
2010-09-20,41826.71,75,25043
2010-09-21,62184.47,103,37060
2010-09-22,29607.89,82,14541
2010-09-23,35959.47,84,21336
2010-09-24,48219.61,61,28027
2010-09-26,21751.15,65,13385
2010-09-27,102425.05,85,125468
2010-09-28,45505.34,127,23618
2010-09-29,37447.11,97,20728
2010-09-30,45707.97,90,24815
2010-10-01,36986.25,69,22197
2010-10-03,38369.71,76,20337
2010-10-04,38516.47,84,23515
2010-10-05,54517.96,117,34833
2010-10-06,30561.44,61,21869
2010-10-07,52259.49,114,30056
2010-10-08,59194.45,75,41404
2010-10-10,22954.51,68,12407
2010-10-11,42760.48,90,24896
2010-10-12,49223.04,110,29509
2010-10-13,52689.67,83,40079
2010-10-14,86965.15,98,37105
2010-10-15,43640.13,108,22303
2010-10-17,33086.89,71,18975
2010-10-18,40529.63,103,19701
2010-10-19,49360.31,75,27226
2010-10-20,44807.44,106,24030
2010-10-21,38608.83,94,17787
2010-10-22,39405.17,87,23091
2010-10-24,28510.64,83,15425
2010-10-25,29011.5,72,14463
2010-10-26,45202.76,103,25953
2010-10-27,32077.78,70,16176
2010-10-28,29539.44,61,14286
2010-10-29,46727.8,83,25560
2010-10-31,29906.69,83,16349
2010-11-01,27140.22,59,14108
2010-11-02,44301.01,89,24142
2010-11-03,44787.69,87,23616
2010-11-04,88852.0,131,60261
2010-11-05,45980.4,74,22435
2010-11-07,31417.24,82,18409
2010-11-08,89961.34,81,32378
2010-11-09,65165.2,120,35345
2010-11-10,79207.55,130,35168
2010-11-11,63345.4,128,34369
2010-11-12,49210.83,109,23195
2010-11-14,28922.46,90,17294
2010-11-15,103386.35,102,37951
2010-11-16,70949.9,107,39225
2010-11-17,50531.92,118,28536
2010-11-18,44014.47,104,21349
2010-11-19,45912.72,106,25256
2010-11-21,31820.3,96,17942
2010-11-22,41762.53,92,19756
2010-11-23,57159.97,131,26793
2010-11-24,60290.52,133,28738
2010-11-25,71385.94,151,37971
2010-11-26,39119.82,83,17368
2010-11-28,26688.66,90,16270
2010-11-29,77108.57,107,39974
2010-11-30,59400.54,122,26446
2010-12-01,57492.33,127,26809
2010-12-02,47596.42,141,31262
2010-12-03,44788.9,68,16136
2010-12-05,30908.67,88,16163
2010-12-06,51767.12,102,21594
2010-12-07,94996.32,83,25161
2010-12-08,44153.98,116,22990
2010-12-09,50092.52,106,19866
2010-12-10,56688.13,76,20940
2010-12-12,17125.65,44,10537
2010-12-13,36574.67,70,17693
2010-12-14,44327.11,89,20242
2010-12-15,30367.56,73,18404
2010-12-16,48868.14,121,29852
2010-12-17,41290.66,66,16883
2010-12-19,7338.47,23,3730
2010-12-20,25514.81,61,14897
2010-12-21,43793.41,55,15581
2010-12-22,4856.57,16,3076
2010-12-23,11314.84,27,5726
2011-01-04,15324.88,36,8617
2011-01-05,31961.52,55,19757
2011-01-06,39968.45,50,23117
2011-01-07,27661.67,53,17131
2011-01-09,15450.68,48,8120
2011-01-10,23305.29,39,12846
2011-01-11,67856.96,58,28418
2011-01-12,23418.55,45,10588
2011-01-13,19598.32,44,10157
2011-01-14,46154.96,47,23115
2011-01-16,6973.89,25,4084
2011-01-17,27746.68,51,13358
2011-01-18,94414.53,40,82922
2011-01-19,25090.4,35,17335
2011-01-20,20387.35,38,10463
2011-01-21,31544.2,38,15293
2011-01-23,10198.1,27,5194
2011-01-24,24346.87,52,11935
2011-01-25,28106.65,66,15523
2011-01-26,19141.17,56,10918
2011-01-27,23329.97,52,11259
2011-01-28,19634.46,40,9832
2011-01-30,6542.61,24,3383
2011-01-31,22481.3,62,13380
2011-02-01,28508.93,63,15802
2011-02-02,20155.79,62,9695
2011-02-03,22929.2,45,15692
2011-02-04,23886.22,52,12680
2011-02-06,3439.67,11,2036
2011-02-07,25521.62,42,9126
2011-02-08,19899.76,45,10083
2011-02-09,15521.33,29,7124
2011-02-10,14590.39,41,11872
2011-02-11,22391.91,45,10517
2011-02-13,5645.48,20,2723
2011-02-14,26217.48,42,13558
2011-02-15,39550.76,58,22662
2011-02-16,24588.36,63,16109
2011-02-17,24793.38,67,14392
2011-02-18,15902.4,38,9141
2011-02-20,9434.4,26,5214
2011-02-21,35266.79,37,21512
2011-02-22,32130.82,52,21866
2011-02-23,25775.21,63,13724
2011-02-24,22570.98,55,11889
2011-02-25,20178.56,49,10560
2011-02-27,9364.71,33,4822
2011-02-28,19817.39,55,9836
2011-03-01,24329.54,60,12117
2011-03-02,18669.94,43,8612
2011-03-03,35728.31,49,20062
2011-03-04,19133.55,49,13551
2011-03-06,9959.62,27,5027
2011-03-07,31116.64,67,13995
2011-03-08,24598.53,48,14524
2011-03-09,21683.92,53,11843
2011-03-10,25962.62,56,15581
2011-03-11,21762.22,50,10510
2011-03-13,4069.14,16,2706
2011-03-14,25734.78,50,16728
2011-03-15,19713.87,51,8929
2011-03-16,21547.17,52,12854
2011-03-17,38469.84,62,20959
2011-03-18,26661.86,63,13913
2011-03-20,21462.84,60,14029
2011-03-21,16649.47,53,10290
2011-03-22,29734.78,52,16524
2011-03-23,23028.93,63,14345
2011-03-24,36130.79,67,18149
2011-03-25,30241.72,56,14041
2011-03-27,9155.77,32,4493
2011-03-28,22267.84,60,12202
2011-03-29,69168.51,62,32794
2011-03-30,30920.35,75,20602
2011-03-31,32909.05,65,16819
2011-04-01,24807.58,74,18443
2011-04-03,6897.18,20,5658
2011-04-04,26266.2,56,13988
2011-04-05,28691.24,51,15555
2011-04-06,17151.15,40,9155
2011-04-07,18091.17,64,10498
2011-04-08,22882.87,70,12976
2011-04-10,9834.75,32,5600
2011-04-11,22112.48,63,13622
2011-04-12,25190.12,61,15308
2011-04-13,24445.38,60,18745
2011-04-14,35712.1,86,18841
2011-04-15,26138.69,56,12695
2011-04-17,12594.34,42,8134
2011-04-18,55029.01,68,29792
2011-04-19,23245.89,59,14437
2011-04-20,28559.32,63,18365
2011-04-21,31622.26,77,18196
2011-04-26,29500.28,71,16119
2011-04-27,25435.39,65,18157
2011-04-28,21692.26,58,13380
2011-05-01,6814.11,18,3806
2011-05-03,26539.02,64,12440
2011-05-04,27189.96,65,17349
2011-05-05,28822.28,88,17421
2011-05-06,35708.29,82,19935
2011-05-08,18622.98,63,10614
2011-05-09,26954.96,71,13344
2011-05-10,44013.7,95,19754
2011-05-11,33292.16,80,18882
2011-05-12,60214.52,84,37749
2011-05-13,30401.65,73,15209
2011-05-15,9890.08,31,4892
2011-05-16,39204.24,67,16011
2011-05-17,52716.7,79,26751
2011-05-18,33973.46,73,19000
2011-05-19,34561.97,99,18107
2011-05-20,26263.68,71,15336
2011-05-22,23832.0,61,12630
2011-05-23,30638.5,65,18147
2011-05-24,37015.31,68,15929
2011-05-25,23927.13,65,13151
2011-05-26,33169.78,64,16254
2011-05-27,27582.16,64,16190
2011-05-29,7266.94,24,4063
2011-05-31,21856.75,54,11703
2011-06-01,19880.24,42,10955
2011-06-02,31843.6,52,14576
2011-06-03,16652.65,44,7675
2011-06-05,24856.76,67,13364
2011-06-06,17332.55,56,9434
2011-06-07,37232.86,77,18723
2011-06-08,40730.44,99,21231
2011-06-09,45354.29,85,28229
2011-06-10,61626.23,50,10656
2011-06-12,12351.94,39,9452
2011-06-13,21491.63,59,11252
2011-06-14,40015.69,57,14599
2011-06-15,48055.93,59,30363
2011-06-16,33890.0,83,20257
2011-06-17,20974.47,52,11747
2011-06-19,22319.48,60,15065
2011-06-20,32608.54,73,16562
2011-06-21,24134.12,55,14172
2011-06-22,20964.31,58,15808
2011-06-23,24614.79,72,14658
2011-06-24,18462.61,50,9970
2011-06-26,6884.36,26,3756
2011-06-27,16180.29,45,9891
2011-06-28,34199.14,53,21741
2011-06-29,21219.21,42,12065
2011-06-30,44357.86,70,21940
2011-07-01,13090.93,48,7632
2011-07-03,5972.73,25,3091
2011-07-04,42684.65,50,15682
2011-07-05,38869.75,73,22080
2011-07-06,25662.41,70,19148
2011-07-07,31605.51,76,19128
2011-07-08,25448.98,64,12677
2011-07-10,5953.24,24,4200
2011-07-11,22043.73,52,15090
2011-07-12,25177.86,53,13939
2011-07-13,21840.19,58,16255
2011-07-14,32876.01,70,17508
2011-07-15,13640.67,40,7287
2011-07-17,17100.26,51,11016
2011-07-18,28167.14,57,15080
2011-07-19,49736.97,65,29145
2011-07-20,31639.98,56,17662
2011-07-21,31828.24,76,19885
2011-07-22,19571.27,43,10262
2011-07-24,26987.56,58,17655
2011-07-25,25372.68,58,16067
2011-07-26,21304.57,51,13703
2011-07-27,25132.82,48,13947
2011-07-28,55810.82,80,30244
2011-07-29,18476.88,64,11555
2011-07-31,32806.82,42,19364
2011-08-01,20857.7,39,11661
2011-08-02,26111.5,44,15703
2011-08-03,27800.14,64,16489
2011-08-04,64709.89,82,41120
2011-08-05,20887.92,55,12728
2011-08-07,7543.86,30,5175
2011-08-08,22798.53,39,13329
2011-08-09,27338.91,40,16254
2011-08-10,28056.26,49,14402
2011-08-11,65024.62,67,39218
2011-08-12,31516.32,51,11966
2011-08-14,5701.87,25,3172
2011-08-15,17127.95,48,10167
2011-08-16,19141.08,51,11179
2011-08-17,51916.56,54,25625
2011-08-18,53978.7,69,34020
2011-08-19,16901.07,54,10641
2011-08-21,14330.27,39,8076
2011-08-22,29443.54,65,15532
2011-08-23,25623.59,61,15160
2011-08-24,47190.62,76,29344
2011-08-25,22707.18,73,13292
2011-08-26,25370.19,45,17113
2011-08-28,10686.56,37,6701
2011-08-30,29219.37,40,10217
2011-08-31,23786.02,44,12426
2011-09-01,36790.83,75,27711
2011-09-02,40007.08,73,18412
2011-09-04,16878.74,50,10911
2011-09-05,36376.35,68,22724
2011-09-06,27998.06,62,15058
2011-09-07,31881.4,51,16377
2011-09-08,26609.17,75,17391
2011-09-09,29592.43,61,17342
2011-09-11,34954.92,75,20892
2011-09-12,29297.96,68,16823
2011-09-13,54071.49,67,36500
2011-09-14,23347.59,68,14180
2011-09-15,74626.49,80,29269
2011-09-16,26982.27,50,15042
2011-09-18,15637.9,27,8936
2011-09-19,46030.92,69,29217
2011-09-20,108364.34,70,43547
2011-09-21,45995.62,75,22287
2011-09-22,58492.17,110,33076
2011-09-23,39013.6,64,21837
2011-09-25,30966.78,75,19416
2011-09-26,28501.76,65,15242
2011-09-27,35107.1,79,21223
2011-09-28,42544.95,85,25326
2011-09-29,45887.74,104,27441
2011-09-30,43287.72,73,22539
2011-10-02,11531.56,35,8332
2011-10-03,61786.28,66,25920
2011-10-04,47597.68,81,25264
2011-10-05,74686.4,95,46201
2011-10-06,61849.31,120,35323
2011-10-07,52905.37,87,30885
2011-10-09,12273.1,39,7285
2011-10-10,46232.7,99,26088
2011-10-11,51854.46,81,28444
2011-10-12,30862.88,86,17592
2011-10-13,35688.09,76,18655
2011-10-14,35112.42,71,18114
2011-10-16,21767.55,35,8648
2011-10-17,49346.75,87,31293
2011-10-18,44360.78,84,29268
2011-10-19,34932.57,83,19149
2011-10-20,60733.53,87,40841
2011-10-21,62978.39,64,24767
2011-10-23,12106.19,41,6951
2011-10-24,44948.77,76,25410
2011-10-25,39887.45,75,26442
2011-10-26,36011.89,93,20593
2011-10-27,48190.77,103,32740
2011-10-28,39845.95,77,23975
2011-10-30,33981.41,96,19897
2011-10-31,52591.72,69,21536
2011-11-01,28809.9,76,16534
2011-11-02,44868.41,85,28482
2011-11-03,62590.96,102,33459
2011-11-04,61799.62,93,35119
2011-11-06,42153.85,102,23055
2011-11-07,84300.01,92,31285
2011-11-08,54617.93,107,26319
2011-11-09,64865.13,119,36927
2011-11-10,68593.52,127,38058
2011-11-11,52913.44,102,28926
2011-11-13,32666.69,87,20684
2011-11-14,111398.61,106,47211
2011-11-15,58328.16,107,30297
2011-11-16,62358.29,130,32932
2011-11-17,58821.66,136,31481
2011-11-18,49613.18,108,23880
2011-11-20,33058.46,100,19096
2011-11-21,48538.76,100,25686
2011-11-22,62098.8,134,33657
2011-11-23,76084.45,130,39282
2011-11-24,48787.6,112,26366
2011-11-25,46959.52,83,18898
2011-11-27,20273.09,57,10921
2011-11-28,54429.43,114,29311
2011-11-29,68148.41,135,30783
2011-11-30,56188.1,107,28326
2011-12-01,50755.15,121,26982
2011-12-02,55917.17,120,28671
2011-12-04,24243.47,66,12283
2011-12-05,80061.23,126,43675
2011-12-06,55257.31,114,30346
2011-12-07,72799.09,105,41766
2011-12-08,77571.19,120,34991
2011-12-09,198094.64,44,93938
